,employer,link,source,title,compensation_min,compensation_max,compensation_currency
224,"ПАО «МТС»,IT",https://hh.ru/vacancy/36619645?query=python,https://hh.ru,Senior Python Developer (видеоаналитика),,,
225,ООО БОЛЬШАЯ ТРОЙКА,https://hh.ru/vacancy/36320017?query=python,https://hh.ru,Инженер по тестированию(Middle),,,
226, Quiet Media,https://hh.ru/vacancy/35874790?query=python,https://hh.ru,Frontend-разработчик,,,
227, Тинькофф,https://hh.ru/vacancy/34774630?query=python,https://hh.ru,Senior Python Developer,,,
228,АО Семейный доктор,https://hh.ru/vacancy/36318057?query=python,https://hh.ru,Python разработчик,130000,180000, руб.
229,ООО КИБЕРТОНИКА,https://hh.ru/vacancy/36449577?query=python,https://hh.ru,Senior Backend Developer,140000,200000, руб.
230,ООО ЛСП,https://hh.ru/vacancy/36292390?query=python,https://hh.ru,Team lead back end,,,
231, BestDoctor,https://hh.ru/vacancy/36533724?query=python,https://hh.ru,Senior iOS разработчик,170000,350000, руб.
232, Банк ВТБ (ПАО),https://hh.ru/vacancy/35745166?query=python,https://hh.ru,Data scientist (ML модели корпоративного бизнеса),,,
233, SPN,https://hh.ru/vacancy/35829963?query=python,https://hh.ru,Backend Developer Python (msk),,,
234,АО СИГНАЛТЕК,https://hh.ru/vacancy/36286740?query=python,https://hh.ru,Специалист по тестированию ПО (Test Engineer/QA),,,
